python3 ~/Desktop/planners/downward/fast-downward.py --overall-time-limit 60 --plan-file plans/plan_astar_ff_2 domain.pddl problem_2.pddl --search "astar(ff())" > logs/astar_ff_2.log	Error	411141936 KB	Error
python3 ~/Desktop/planners/downward/fast-downward.py --overall-time-limit 60 --plan-file plans/plan_astar_lmcut_2 domain.pddl problem_2.pddl --search "astar(lmcut())" > logs/astar_lmcut_2.log	Error	411026208 KB	Error
python3 ~/Desktop/planners/downward/fast-downward.py --overall-time-limit 60 --plan-file plans/plan_astar_ipdb_2 domain.pddl problem_2.pddl --search "astar(ipdb())" > logs/astar_ipdb_2.log	Error	414681952 KB	Error
python3 ~/Desktop/planners/downward/fast-downward.py --overall-time-limit 60 --plan-file plans/plan_astar_cg_2 domain.pddl problem_2.pddl --search "astar(cg())" > logs/astar_cg_2.log	19.4313	411042608 KB	27
python3 ~/Desktop/planners/downward/fast-downward.py --overall-time-limit 60 --plan-file plans/plan_astar_cea_2 domain.pddl problem_2.pddl --search "astar(cea())" > logs/astar_cea_2.log	Error	411226928 KB	Error
python3 ~/Desktop/planners/downward/fast-downward.py --overall-time-limit 60 --plan-file plans/plan_eager_greddy_blind_2 domain.pddl problem_2.pddl --evaluator "blind=blind()" --search "eager_greedy([blind], preferred=[blind])" > logs/eager_greddy_blind_2.log	Error	414835552 KB	Error
python3 ~/Desktop/planners/downward/fast-downward.py --overall-time-limit 60 --plan-file plans/plan_eager_greddy_add_2 domain.pddl problem_2.pddl --evaluator "add=add()" --search "eager_greedy([add], preferred=[add])" > logs/eager_greddy_add_2.log	0.123485	410868512 KB	32
python3 ~/Desktop/planners/downward/fast-downward.py --overall-time-limit 60 --plan-file plans/plan_eager_greddy_ff_2 domain.pddl problem_2.pddl --evaluator "ff=ff()" --search "eager_greedy([ff], preferred=[ff])" > logs/eager_greddy_ff_2.log	0.0258123	410728224 KB	32
python3 ~/Desktop/planners/downward/fast-downward.py --overall-time-limit 60 --plan-file plans/plan_eager_greddy_lmcut_2 domain.pddl problem_2.pddl --evaluator "lmcut=lmcut()" --search "eager_greedy([lmcut], preferred=[lmcut])" > logs/eager_greddy_lmcut_2.log	1.07232	410877728 KB	29
python3 ~/Desktop/planners/downward/fast-downward.py --overall-time-limit 60 --plan-file plans/plan_eager_greddy_ipdb_2 domain.pddl problem_2.pddl --evaluator "ipdb=ipdb()" --search "eager_greedy([ipdb], preferred=[ipdb])" > logs/eager_greddy_ipdb_2.log	0.00298396	410877728 KB	33
python3 ~/Desktop/planners/downward/fast-downward.py --overall-time-limit 60 --plan-file plans/plan_eager_greddy_cg_2 domain.pddl problem_2.pddl --evaluator "cg=cg()" --search "eager_greedy([cg], preferred=[cg])" > logs/eager_greddy_cg_2.log	0.159415	410877728 KB	32
python3 ~/Desktop/planners/downward/fast-downward.py --overall-time-limit 60 --plan-file plans/plan_eager_greddy_cea_2 domain.pddl problem_2.pddl --evaluator "cea=cea()" --search "eager_greedy([cea], preferred=[cea])" > logs/eager_greddy_cea_2.log	0.361801	410877728 KB	32
python3 ~/Desktop/planners/downward/fast-downward.py --overall-time-limit 60 --plan-file plans/plan_lazy_greddy_blind_2 domain.pddl problem_2.pddl --evaluator "blind=blind()" --search "lazy_greedy([blind], preferred=[blind])" > logs/lazy_greddy_blind_2.log	Error	414189424 KB	Error
python3 ~/Desktop/planners/downward/fast-downward.py --overall-time-limit 60 --plan-file plans/plan_lazy_greddy_add_2 domain.pddl problem_2.pddl --evaluator "add=add()" --search "lazy_greedy([add], preferred=[add])" > logs/lazy_greddy_add_2.log	0.153986	410877728 KB	33
python3 ~/Desktop/planners/downward/fast-downward.py --overall-time-limit 60 --plan-file plans/plan_lazy_greddy_ff_2 domain.pddl problem_2.pddl --evaluator "ff=ff()" --search "lazy_greedy([ff], preferred=[ff])" > logs/lazy_greddy_ff_2.log	0.00756358	410728224 KB	33
python3 ~/Desktop/planners/downward/fast-downward.py --overall-time-limit 60 --plan-file plans/plan_lazy_greddy_lmcut_2 domain.pddl problem_2.pddl --evaluator "lmcut=lmcut()" --search "lazy_greedy([lmcut], preferred=[lmcut])" > logs/lazy_greddy_lmcut_2.log	0.7908	410746656 KB	31
python3 ~/Desktop/planners/downward/fast-downward.py --overall-time-limit 60 --plan-file plans/plan_lazy_greddy_ipdb_2 domain.pddl problem_2.pddl --evaluator "ipdb=ipdb()" --search "lazy_greedy([ipdb], preferred=[ipdb])" > logs/lazy_greddy_ipdb_2.log	0.00687888	410877728 KB	38
python3 ~/Desktop/planners/downward/fast-downward.py --overall-time-limit 60 --plan-file plans/plan_lazy_greddy_cg_2 domain.pddl problem_2.pddl --evaluator "cg=cg()" --search "lazy_greedy([cg], preferred=[cg])" > logs/lazy_greddy_cg_2.log	0.189056	410868512 KB	42
python3 ~/Desktop/planners/downward/fast-downward.py --overall-time-limit 60 --plan-file plans/plan_lazy_greddy_cea_2 domain.pddl problem_2.pddl --evaluator "cea=cea()" --search "lazy_greedy([cea], preferred=[cea])" > logs/lazy_greddy_cea_2.log	0.00831471	410728224 KB	40
